name,country_iso2,lat,lon,population
Sint-Kruis,BE,51.21399,3.24949,16000
Sint-Katherina-Lombeek,BE,50.87314,4.1536,6607
Sint-Katelijne-Waver,BE,51.06691,4.53469,19487
Sint-Job-in-'t-Goor,BE,51.29907,4.57289,8515
Sint-Gillis-Waas,BE,51.21914,4.12374,17658
Sint-Gillis-bij-Dendermonde,BE,51.01905,4.11146,12953
Sint-Genesius-Rode,BE,50.74645,4.35754,17990
Sint-Denijs-Westrem,BE,51.02135,3.67202,6419
Sint-Andries,BE,51.19696,3.17891,19336
Sint-Amandsberg,BE,51.05947,3.74943,32115
Sint-Amands,BE,51.05645,4.20957,7653
Sinaai,BE,51.15789,4.04087,6319
Silly,BE,50.64877,3.92363,7887
Sijsele,BE,51.20846,3.31714,5348
's-Gravenwezel,BE,51.26267,4.56113,6379
Seraing,BE,50.58362,5.50115,60737
Seneffe,BE,50.53135,4.26301,11025
Seilles,BE,50.50065,5.09268,5826
Schriek,BE,51.02844,4.69357,5062
Schoten,BE,51.25251,4.50268,33622
Schilde,BE,51.24107,4.58336,20373
Scherpenheuvel,BE,50.98075,4.97552,7162
Schepdaal,BE,50.83836,4.19609,6004
Schelle,BE,51.12615,4.34114,7675
Schaerbeek,BE,50.86935,4.37737,132761
Sauvenière,BE,50.58157,4.72466,5029
Saint-Vith,BE,50.28146,6.12724,9135
Saint-Vaast,BE,50.45426,4.16041,6351
Saint-Servais,BE,50.4763,4.83656,9516
Saint-Nicolas,BE,50.62837,5.53243,22586
Saint-Josse-ten-Noode,BE,50.8538,4.37282,27366
Saint-Hubert,BE,50.02668,5.37401,5538
Saint-Gilles,BE,50.82763,4.34389,50221
Saint-Ghislain,BE,50.44816,3.81886,22500
Saint-Georges-sur-Meuse,BE,50.60007,5.3574,6803
Rumst,BE,51.08153,4.42217,14521
Rumbeke,BE,50.93248,3.16716,14265
Ruiselede,BE,51.04039,3.39416,5129
Ruisbroek,BE,50.79015,4.29771,7041
Ruddervoorde,BE,51.09589,3.20743,5832
Roux,BE,50.44111,4.3917,8983
Rotselaar,BE,50.95302,4.71665,15007
Ronse,BE,50.74574,3.6005,24204
Le Roeulx,BE,50.50365,4.11163,7968
Roeselare,BE,50.94653,3.12269,56016
Rocourt,BE,50.67579,5.54621,7010
Rochefort,BE,50.1631,5.2216,11978
Rixensart,BE,50.71229,4.52529,21616
Rillaar,BE,50.97376,4.89177,5518
Rijmenam,BE,51.0016,4.58405,5755
Rijkevorsel,BE,51.34795,4.76053,10606
Riemst,BE,50.80995,5.60131,15809
Retie,BE,51.26652,5.08242,8000
Remicourt,BE,50.68069,5.32785,5050
Reet,BE,51.10201,4.41264,6865
Rebecq-Rognon,BE,50.65147,4.10683,10049
Ravels,BE,51.37274,4.9921,13560
Ranst,BE,51.18983,4.56533,17405
Ransart,BE,50.46166,4.47616,8813
Ramillies,BE,50.63395,4.90119,5749
Raeren,BE,50.6672,6.11535,9925
Quiévrain,BE,50.40737,3.68351,6560
Quévy-le-Petit,BE,50.36879,3.93602,7689
Quaregnon,BE,50.44067,3.8653,18491
Puurs,BE,51.07409,4.28844,15944
Putte,BE,51.05337,4.63263,15276
Profondeville,BE,50.37581,4.86506,11401
Prayon,BE,50.57795,5.6753,5240
Poperinge,BE,50.85386,2.72659,19537
Pont-à-Celles,BE,50.50518,4.36887,15909
Plombières,BE,50.73656,5.95922,9596
Pittem,BE,50.99279,3.26317,6589
Philippeville,BE,50.19612,4.54374,8051
Lettelingen,BE,50.68333,4.08333,6611
Petegem-aan-de-Leie,BE,50.96667,3.53333,10332
Péruwelz,BE,50.50819,3.59373,16647
Pepinster,BE,50.56568,5.80386,9530
Peer,BE,51.1303,5.45952,15551
Pâturages,BE,50.4072,3.855,8106
Pamel,BE,50.8453,4.07129,9241
Paliseul,BE,49.90395,5.13537,5037
Paal,BE,51.03988,5.17233,11935
Overpelt,BE,51.21038,5.41557,13344
Overijse,BE,50.77436,4.53461,23486
Oupeye,BE,50.71184,5.6468,23594
Ougrée,BE,50.60149,5.5444,11975
Oud-Turnhout,BE,51.31978,4.9841,12354
Oud-Heverlee,BE,50.83522,4.66421,10533
Oudenburg,BE,51.18489,3.00035,8752
Oudenaarde,BE,50.85168,3.60891,31866
Ottignies,BE,50.66535,4.56679,9557
Opwijk,BE,50.96724,4.18442,12045
Opglabbeek,BE,51.04258,5.58346,9452
Oostrozebeke,BE,50.92093,3.33799,7489
Oostmalle,BE,51.3,4.73333,7034
Oostkamp,BE,51.15432,3.23128,21489
Oostham,BE,51.10374,5.17877,5320
Oosterzele,BE,50.95261,3.79826,13151
Ostend,BE,51.21551,2.927,69011
Oostduinkerke,BE,51.11565,2.68217,8534
Oostakker,BE,51.10124,3.76945,7885
Onze-Lieve-Vrouw-Waver,BE,51.06265,4.57941,5621
Ohain,BE,50.69885,4.4698,5977
Oedelem,BE,51.17033,3.33762,6360
Noorderwijk,BE,51.14122,4.84061,5166
Nivelles,BE,50.59833,4.32848,24149
Ninove,BE,50.82776,4.02657,34795
Nijlen,BE,51.16096,4.67008,20792
Nieuwpoort,BE,51.13008,2.75135,10845
Nieuwkerken-Waas,BE,51.19358,4.17776,6082
Nieuwerkerken,BE,50.92386,4.00433,6174
Nieuwerkerken,BE,50.8638,5.19467,6466
Niel,BE,51.11096,4.33428,8656
Nevele,BE,51.03531,3.54574,11153
Neufchâteau,BE,49.84074,5.43535,6416
Neerpelt,BE,51.22807,5.4427,16122
Neeroeteren,BE,51.09156,5.69933,9759
Brakel,BE,50.80101,3.76264,6513
Nazareth,BE,50.95686,3.59425,10890
Nassogne,BE,50.12849,5.34274,5081
Namur,BE,50.4669,4.86746,110939
Nalinnes,BE,50.32434,4.44572,5785
Muizen,BE,51.01111,4.51427,5386
Mouscron,BE,50.74497,3.20639,52069
Mortsel,BE,51.16697,4.45127,24525
Morlanwelz-Mariemont,BE,50.45502,4.24519,18233
Moorslede,BE,50.8919,3.06117,10720
Moorsele,BE,50.8409,3.15971,6102
Moorsel,BE,50.94743,4.09825,5103
Mont-sur-Marchienne,BE,50.38997,4.40732,12761
Mont-Saint-Guibert,BE,50.63427,4.61061,6557
Montignies-sur-Sambre,BE,50.41081,4.49109,18765
Montigny-le-Tilleul,BE,50.38056,4.37582,8938
Montegnée,BE,50.64576,5.51411,11417
Mons,BE,50.45413,3.95229,95299
Monceau-sur-Sambre,BE,50.41694,4.37668,9812
Momignies,BE,50.0271,4.16519,5183
Molenbeek-Saint-Jean,BE,50.8499,4.31248,97037
Mol,BE,51.19188,5.11662,32659
Moerbeke,BE,51.17409,3.93001,5855
Middelkerke,BE,51.18532,2.82077,17789
Meulebeke,BE,50.95136,3.28804,10948
Mettet,BE,50.32119,4.66232,12014
Messancy,BE,49.59201,5.81879,7144
Merksplas,BE,51.35851,4.86513,7963
Merksem,BE,51.24623,4.44903,44435
Merelbeke,BE,50.99447,3.74621,16684
Mere,BE,50.92306,3.97134,5335
Merchtem,BE,50.95129,4.23197,14660
Menen,BE,50.79722,3.12245,31916
Melsele,BE,51.22285,4.28201,10941
Melle,BE,51.00232,3.80526,10687
Meise,BE,50.93934,4.32655,18497
Meeuwen,BE,51.0991,5.52106,5668
Meerhout,BE,51.1321,5.07842,9346
Meerbeke,BE,50.82444,4.03674,5866
Mechelen-aan-de-Maas,BE,50.96589,5.69144,15374
Mechelen,BE,51.02574,4.47762,77530
Maurage,BE,50.45652,4.09704,5098
Marke,BE,50.80678,3.23344,7575
Mariakerke,BE,51.07476,3.68289,17062
Marcinelle,BE,50.39216,4.44388,23696
Marchin,BE,50.46707,5.2428,5063
Marchienne-au-Pont,BE,50.40573,4.3953,15154
Marche-en-Famenne,BE,50.22678,5.34416,16856
Manage,BE,50.50312,4.23589,22196
Malonne,BE,50.43969,4.79562,5467
Malmédy,BE,50.42686,6.02794,12654
Maldegem,BE,51.20737,3.44511,22092
Machelen,BE,50.91061,4.44174,12252
Maasmechelen,BE,50.96545,5.69452,36251
Maaseik,BE,51.09802,5.78379,25201
Lummen,BE,50.98772,5.19121,13689
Lubbeek,BE,50.88278,4.83896,13574
Lovendegem,BE,51.10168,3.61298,9272
Louvain-la-Neuve,BE,50.66829,4.61443,29521
Lommel,BE,51.23074,5.31349,31993
Lokeren,BE,51.10364,3.99339,41438
Lodelinsart,BE,50.43138,4.44886,8489
Lochristi,BE,51.09644,3.83194,19696
Lobbes,BE,50.35258,4.26716,5467
Lissewege,BE,51.29427,3.19331,7699
Linden,BE,50.89494,4.77027,5042
Limelette,BE,50.68428,4.57186,5416
Limbourg,BE,50.61222,5.9412,5612
Limal,BE,50.69477,4.57538,9443
Lille,BE,51.24197,4.82313,15466
Lier,BE,51.13128,4.57041,33272
Liège,BE,50.63373,5.56749,195278
Liedekerke,BE,50.86892,4.08743,11980
Lichtervelde,BE,51.03333,3.15,8169
Lichtaart,BE,51.22495,4.91681,6212
Leval-Trahegnies,BE,50.4213,4.22556,6473
Leuze,BE,50.6,3.6,7095
Leuven,BE,50.87959,4.70093,101032
Lessines,BE,50.71104,3.83579,17687
Leopoldsburg,BE,51.11667,5.25,14149
Lendelede,BE,50.88626,3.23747,5393
Lemberge,BE,50.97629,3.77054,6726
Lembeek,BE,50.7157,4.21832,7689
Ledeberg,BE,51.03859,3.74458,8454
Lede,BE,50.96626,3.98594,16813
Lebbeke,BE,51.00464,4.13457,17372
Lauwe,BE,50.79479,3.1869,8392
Langemark,BE,50.9131,2.91965,5079
Langdorp,BE,50.99561,4.87175,7492
Landen,BE,50.75267,5.082,14458
Lanaken,BE,50.89318,5.6468,24771
La Louvière,BE,50.48657,4.18785,76668
La Hulpe,BE,50.73091,4.48577,7415
La Calamine,BE,50.71809,6.01107,10232
La Bruyère,BE,50.39478,4.61444,8194
La Bouverie,BE,50.40524,3.8744,7169
Laarne,BE,51.03078,3.85077,11600
Kwaadmechelen,BE,51.10099,5.14478,5574
Kuurne,BE,50.85143,3.2824,12638
Kuringen,BE,50.94426,5.29902,11409
Kruishoutem,BE,50.90168,3.52588,8179
Kruibeke,BE,51.17048,4.31444,14815
Kraainem,BE,50.86155,4.46946,12815
Kortrijk,BE,50.82803,3.26487,73879
Kortessem,BE,50.8589,5.38974,8042
Kortenberg,BE,50.88982,4.54353,17774
Kortenaken,BE,50.90862,5.05968,7374
Kortemark,BE,51.02951,3.04112,11937
Kontich,BE,51.13213,4.44706,20290
Koksijde,BE,51.11642,2.63772,21957
Koersel,BE,51.05909,5.27121,18076
Koekelberg,BE,50.86117,4.33136,21984
Koekelare,BE,51.09047,2.9783,8317
Knokke-Heist,BE,51.35,3.26667,33781
Knokke,BE,51.35113,3.28744,14449
Knesselare,BE,51.13932,3.41282,7889
Klemskerke,BE,51.24222,3.02401,6447
Kinrooi,BE,51.14543,5.74207,11946
Kessel-Lo,BE,50.88549,4.73717,30215
Kessel,BE,51.13892,4.62962,7591
Kasterlee,BE,51.24118,4.96651,17765
Kaprijke,BE,51.2172,3.61519,6114
Kapelle-op-den-Bos,BE,51.0097,4.36303,8859
Kapellen,BE,51.31377,4.43539,26410
Kalmthout,BE,51.38442,4.47556,17485
Kalken,BE,51.03836,3.9186,5782
Kain,BE,50.63869,3.39688,7412
Jurbise,BE,50.531,3.90942,9483
Juprelle,BE,50.7076,5.53127,8354
Jupille-sur-Meuse,BE,50.64587,5.63307,10604
Jumet,BE,50.4422,4.43745,24510
Jodoigne,BE,50.72357,4.86914,11930
Jette,BE,50.87309,4.33419,52490
Jemeppe-sur-Meuse,BE,50.61701,5.49849,11312
Jemeppe-sur-Sambre,BE,50.46543,4.6655,6127
Jemappes,BE,50.44914,3.89096,10809
Jambes,BE,50.45636,4.87166,19658
Jalhay,BE,50.55876,5.96764,7688
Jabbeke,BE,51.18185,3.08935,13488
Izegem,BE,50.91396,3.21378,26382
Ixelles,BE,50.83333,4.36667,86671
Ivoz-Ramet,BE,50.58798,5.4657,5672
Ittre,BE,50.64396,4.26476,6014
Itegem,BE,51.10328,4.72855,5911
Ingelmunster,BE,50.92081,3.25571,10603
Ieper,BE,50.85114,2.88569,35089
Ichtegem,BE,51.09572,3.01549,13582
Huy,BE,50.51894,5.23284,19973
Huldenberg,BE,50.78939,4.5831,9137
Hove,BE,51.15446,4.4707,7968
Houthulst,BE,50.97824,2.9505,8951
Houthalen,BE,51.03427,5.37429,30050
Houdeng-Goegnies,BE,50.49032,4.17513,14312
Houdeng-Aimeries,BE,50.48132,4.14545,7534
Hornu,BE,50.4328,3.82736,8793
